kind	time	pc	value
FETCH	0	0e2	18
FETCH	0	0e3	18
FETCH	0	0e4	21
FETCH	0	0e5	35
FETCH	0	0e6	35
FETCH	0	0e7	35
FETCH	0	0e8	35
FETCH	0	0e9	35
FETCH	0	0ea	35
FETCH	0	0eb	35
FETCH	0	0ec	8
FETCH	0	0ed	8
FETCH	0	0ee	8
FETCH	0	0ef	8
FETCH	0	0f0	8
FETCH	0	0f1	8
FETCH	0	0f2	8
FETCH	0	0f3	4
FETCH	0	0f4	4
FETCH	0	0f5	4
FETCH	0	0f6	4
FETCH	0	0f7	4
FETCH	0	0f8	260
FETCH	0	0f9	260
FETCH	0	0fa	260
FETCH	0	0fb	260
FETCH	0	0fc	260
FETCH	0	0fd	260
FETCH	0	0fe	5
FETCH	0	0ff	5
FETCH	0	100	6
FETCH	0	101	6
FETCH	0	102	6
FETCH	0	103	6
FETCH	0	104	4
FETCH	0	105	4
FETCH	0	106	4
FETCH	0	107	4
FETCH	0	108	4
FETCH	0	109	4
FETCH	0	10a	4
FETCH	0	10b	4
FETCH	0	10c	4
FETCH	0	10d	4
FETCH	0	10e	4
FETCH	0	10f	4
FETCH	0	110	4
FETCH	0	111	4
FETCH	0	112	4
FETCH	0	113	4
FETCH	0	114	4
FETCH	0	115	4
FETCH	0	116	4
FETCH	0	117	4
FETCH	0	118	4
FETCH	0	119	4
FETCH	0	11a	4
FETCH	0	11b	4
FETCH	0	11c	4
FETCH	0	11d	5
FETCH	0	11e	4
FETCH	0	11f	4
FETCH	0	120	4
FETCH	0	121	4
FETCH	0	122	4
FETCH	0	123	4
FETCH	0	124	4
FETCH	0	125	4
FETCH	0	126	4
FETCH	0	127	4
FETCH	0	128	4
FETCH	0	129	4
FETCH	0	12a	4
FETCH	0	12b	4
FETCH	0	12c	4
FETCH	0	12d	4
FETCH	0	12e	4
FETCH	0	12f	4
FETCH	0	130	4
FETCH	0	131	4
FETCH	0	132	4
FETCH	0	133	4
FETCH	0	134	4
FETCH	0	135	4
FETCH	0	136	4
FETCH	0	137	4
FETCH	0	138	5
FETCH	0	139	4
FETCH	0	13a	4
FETCH	0	13b	4
FETCH	0	13c	4
FETCH	0	13d	4
FETCH	0	13e	4
FETCH	0	13f	4
FETCH	0	140	4
FETCH	0	141	4
FETCH	0	142	4
FETCH	0	143	4
FETCH	0	144	4
FETCH	0	145	4
FETCH	0	146	4
FETCH	0	147	4
FETCH	0	148	4
FETCH	0	149	4
FETCH	0	14a	4
FETCH	0	14b	4
FETCH	0	14c	4
FETCH	0	14d	4
FETCH	0	14e	4
FETCH	0	14f	4
FETCH	0	150	4
FETCH	0	151	4
FETCH	0	152	4
FETCH	0	153	4
FETCH	0	154	4
FETCH	0	155	5
FETCH	0	156	5
FETCH	0	157	5
FETCH	0	158	5
FETCH	0	159	5
FETCH	0	15a	5
FETCH	0	15b	5
FETCH	0	15c	5
FETCH	0	15d	5
FETCH	0	15e	5
FETCH	0	15f	5
FETCH	0	160	5
FETCH	0	161	5
FETCH	0	162	4
FETCH	0	163	4
FETCH	0	164	4
FETCH	0	165	4
FETCH	0	166	4
FETCH	0	167	4
FETCH	0	168	4
FETCH	0	169	4
FETCH	0	16a	4
FETCH	0	16b	4
FETCH	0	16c	4
FETCH	0	16d	4
FETCH	0	16e	4
FETCH	0	16f	4
FETCH	0	170	4
FETCH	0	171	5
FETCH	0	172	5
FETCH	0	173	5
FETCH	0	174	5
FETCH	0	175	5
FETCH	0	176	5
FETCH	0	177	10
FETCH	0	178	10
FETCH	0	179	10
FETCH	0	17a	4
FETCH	0	17b	4
FETCH	0	17c	4
FETCH	0	17d	4
FETCH	0	17e	4
FETCH	0	17f	4
FETCH	0	180	4
FETCH	0	181	4
FETCH	0	182	10
FETCH	0	183	10
FETCH	0	184	5
FETCH	0	185	5
FETCH	0	186	5
FETCH	0	187	5
FETCH	0	188	5
FETCH	0	189	5
FETCH	0	18a	4
FETCH	0	18b	4
FETCH	0	18c	4
FETCH	0	18d	4
FETCH	0	18e	4
FETCH	0	18f	4
FETCH	0	190	6
FETCH	0	191	6
FETCH	0	192	6
FETCH	0	193	6
FETCH	0	194	6
FETCH	0	195	6
FETCH	0	196	6
FETCH	0	197	4
FETCH	0	198	4
FETCH	0	199	4
FETCH	0	19a	4
